name,assembly_number
ACCURIOPRESS C12000,AC0D011
C14000 C12000 FREIGHT,7640021366
BASIC NETWORK SERVICE - BNS08,7640018098
BASIC PROFESSIONAL SERVICES - LEVEL 5,7640012601
EXPERT COLOR PRODUCTION TRAINING,7640020218
PROFESSIONAL SERVICES PROJECT FEE,7640015255
LEASE RETURN 1ST UNIT,7640018268
LEASE RETURN ADD'L UNITS,7640018269
KMPF LEASE RETURN 1ST UNIT,7640020486
KMPF LEASE RETURN ADDL UNITS,7640020488
ADDITIONAL DELIVERY CHARGE,7640018271
PF-712 PAPER FEED,AC4GWY1
PF-713 PAPER FEED WITH SCANNER,AC4HWY1
PF-812 LONG SHEET 3 DRAWER PAPER FEED,AC4JWY1
FA-505 PF CONNECTION KIT,AC4MWY1
MB-511 BYPASS BANNER TRAY,AC4KWY1
IM-101 INTELLIGENT MEDIA SENSOR,ACCXWY1
IQ-501 INTELLIGENT QUALITY OPTIMIZER,A8FRWY1
RU-518M RELAY UNIT,A9CEWY2
OT-512 OUTPUT TRAY,AC8WWY1
FS-541 STAPLE FINISHER,AAUUWY1
LS-507 LARGE STACKER,AAPKWY1
LC-502 STACKER CART,ACHKWY1
TU-510 TRIMMER UNIT,AC3TWY1
SD-506 SADDLE STITCH UNIT,A0H2WY3
SD-513 SADDLE STITCHER,A65UWY2
PB-503  PERFECT BINDER,A15XW13
RU-510 RELAY UNIT,A4FCWY2
WT-518 WORK TABLE,ACT2WY1
PLOCKMATIC SD-350 BOOKLETMAKER,10207010
GBC PUNCH G2,7718800
EF-106 ENVELOPE FUSER,ACT1W21
IC-610 KM IMAGE CONTROLLER,ACMD0Y1
IC-318 FIERY IMAGE CONTROLLER,ACAYWY1
IC-319 FIERY PREMIUM IMAGE CONTROLLER,ACVAWY1
IC-316 CREO CONTROLLER,ACN1WY1
SMART-UPS 1500VA LCD 120V WITH SMARTCONN,2CL133
ORU LITE PARTS KIT C12000 C14000,7640021368
ORU ADVANCED PARTS KIT C12000 C14000,7640021367
